"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31350","TCTCPT2945 - General Posting UOM list logic fails","firefox","Sun Feb 09 14:16:42 GMT 2025","broken","Sun Feb 09 14:17:14 GMT 2025","","V5_6_0\TCTCPT-2945.spec.js","",""
"","34047","Perform Adhoc IM PI Regression (Part 2)","firefox","Sun Feb 09 14:16:04 GMT 2025","broken","Sun Feb 09 14:16:38 GMT 2025","","Full_Regression_Tests\test1.spec.js","",""
"","30585","TCTCPT2945 - General Posting UOM list logic fails","webkit","Sun Feb 09 14:17:29 GMT 2025","broken","Sun Feb 09 14:18:00 GMT 2025","","V5_6_0\TCTCPT-2945.spec.js","",""
"","31822","test","firefox","Sun Feb 09 14:16:07 GMT 2025","broken","Sun Feb 09 14:16:39 GMT 2025","","V5_5_0\test4.spec.js","",""
"","34402","Perform Adhoc IM PI Regression (Part 2)","chromium","Sun Feb 09 14:15:19 GMT 2025","broken","Sun Feb 09 14:15:54 GMT 2025","","Full_Regression_Tests\test1.spec.js","",""
"","31292","test","webkit","Sun Feb 09 14:16:59 GMT 2025","broken","Sun Feb 09 14:17:30 GMT 2025","","Light_Regression_Tests\test3.spec.js","",""
"","32423","test","chromium","Sun Feb 09 14:15:19 GMT 2025","broken","Sun Feb 09 14:15:52 GMT 2025","","V5_5_0\test4.spec.js","",""
"","34650","Perform Adhoc IM PI Regression (Part 3)","chromium","Sun Feb 09 14:15:19 GMT 2025","broken","Sun Feb 09 14:15:54 GMT 2025","","Full_Regression_Tests\test2.spec.js","",""
"","30236","Perform Adhoc IM PI Regression","webkit","Sun Feb 09 14:17:31 GMT 2025","broken","Sun Feb 09 14:18:01 GMT 2025","","V5_6_0\test5.spec.js","",""
"","32807","Perform Adhoc IM PI Regression","firefox","Sun Feb 09 14:16:50 GMT 2025","broken","Sun Feb 09 14:17:23 GMT 2025","","V5_6_0\test5.spec.js","",""
"","33302","Perform Adhoc IM PI Regression (Part 3)","firefox","Sun Feb 09 14:16:04 GMT 2025","broken","Sun Feb 09 14:16:37 GMT 2025","","Full_Regression_Tests\test2.spec.js","",""
"","32020","test","firefox","Sun Feb 09 14:16:07 GMT 2025","broken","Sun Feb 09 14:16:39 GMT 2025","","Light_Regression_Tests\test3.spec.js","",""
"","33070","TCTCPT2945 - General Posting UOM list logic fails","chromium","Sun Feb 09 14:15:19 GMT 2025","broken","Sun Feb 09 14:15:53 GMT 2025","","V5_6_0\TCTCPT-2945.spec.js","",""
"","30509","Perform Adhoc IM PI Regression (Part 3)","webkit","Sun Feb 09 14:16:57 GMT 2025","broken","Sun Feb 09 14:17:27 GMT 2025","","Full_Regression_Tests\test2.spec.js","",""
"","33535","Perform Adhoc IM PI Regression (Part 2)","firefox","Sun Feb 09 14:16:07 GMT 2025","broken","Sun Feb 09 14:16:41 GMT 2025","","V5_4_0\newTest.spec.js","",""
"","30472","Perform Adhoc IM PI Regression (Part 2)","webkit","Sun Feb 09 14:17:02 GMT 2025","broken","Sun Feb 09 14:17:33 GMT 2025","","V5_4_0\newTest.spec.js","",""
"","30753","test","webkit","Sun Feb 09 14:17:21 GMT 2025","broken","Sun Feb 09 14:17:51 GMT 2025","","V5_5_0\test4.spec.js","",""
"","30386","Perform Adhoc IM PI Regression (Part 2)","webkit","Sun Feb 09 14:16:53 GMT 2025","broken","Sun Feb 09 14:17:24 GMT 2025","","Full_Regression_Tests\test1.spec.js","",""
"","31424","test","chromium","Sun Feb 09 14:15:19 GMT 2025","broken","Sun Feb 09 14:15:51 GMT 2025","","Light_Regression_Tests\test3.spec.js","",""
"","10652","TCTCPT2945 - General Posting UOM list logic fails","chromium","Fri Jan 24 14:59:31 GMT 2025","passed","Fri Jan 24 14:59:41 GMT 2025","","V5_6_0\test6.spec.js","",""
"","34290","Perform Adhoc IM PI Regression (Part 2)","chromium","Sun Feb 09 14:15:19 GMT 2025","broken","Sun Feb 09 14:15:54 GMT 2025","","V5_4_0\newTest.spec.js","",""
"","33275","Perform Adhoc IM PI Regression","chromium","Sun Feb 09 14:16:04 GMT 2025","broken","Sun Feb 09 14:16:37 GMT 2025","","V5_6_0\test5.spec.js","",""
